,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
149705,House,34000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,6,2019-07-12,Binbadar Property Consultant,Atif,9.6
149706,House,29000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,0,2019-07-12,Binbadar Property Consultant,Atif,9.6
149707,Upper Portion,16000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,3,2019-07-12,Binbadar Property Consultant,Atif,9.3
149708,Upper Portion,21000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,3,2019-07-12,Binbadar Property Consultant,Atif,9.3
149709,Flat,14500000,Jamshed Town,Karachi,Sindh,24.883439000000003,67.033424,0,For Sale,3,2019-07-12,Binbadar Property Consultant,Atif,7.1
149710,House,12500000,Bahria Town Karachi,Karachi,Sindh,25.058062,67.306626,3,For Sale,3,2019-07-12,Jaidad Group,Syed Raheem Shah,8.0
149711,House,9900000,Karachi Motorway,Karachi,Sindh,25.077935,67.541729,0,For Sale,0,2019-07-12,Al Basit Real Estate,Yasir Mazoor,20.0
149712,House,7200000,Karachi Motorway,Karachi,Sindh,25.077935,67.541729,0,For Sale,0,2019-07-12,Al Basit Real Estate,Yasir Mazoor,5.0
149713,Flat,3100000,Nazimabad,Karachi,Sindh,24.906134,67.023983,0,For Sale,2,2019-07-12,Cyber Zone Estate,Asif Ansari,2.7
149714,House,72500000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Cyber Zone Estate,Asif Ansari,16.9
149715,House,67500000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Cyber Zone Estate,Asif Ansari,16.9
149716,Flat,7800000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,2,2019-07-12,Cyber Zone Estate,Asif Ansari,5.1
149717,Flat,3600000,Nazimabad,Karachi,Sindh,24.91493,67.02664399999999,0,For Sale,2,2019-07-12,Cyber Zone Estate,Asif Ansari,3.1
149718,House,37000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Cyber Zone Estate,Asif Ansari,18.8
149719,Upper Portion,20000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Cyber Zone Estate,Asif Ansari,9.8
149720,Upper Portion,8500000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Cyber Zone Estate,Asif Ansari,4.8
149721,House,42000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Cyber Zone Estate,Asif Ansari,16.9
149722,Flat,4200000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,2,2019-07-12,Cyber Zone Estate,Asif Ansari,3.6
149723,House,31000000,Gulistan-e-Jauhar,Karachi,Sindh,24.926606,67.13038399999999,0,For Sale,0,2019-07-12,Online Associates,Wasim Sheikh,9.6
149724,House,390000000,DHA Defence,Karachi,Sindh,24.782215,67.074537,0,For Sale,7,2019-07-12,Aashiyana Salman Property Management,Mustafa,80.0
149725,House,400000000,DHA Defence,Karachi,Sindh,24.782215,67.074537,0,For Sale,7,2019-07-12,Aashiyana Salman Property Management,Mustafa,80.0
149726,House,100000000,DHA Defence,Karachi,Sindh,24.819653,67.077749,0,For Sale,6,2019-07-12,Aashiyana Salman Property Management,Mustafa,24.0
149727,House,97500000,DHA Defence,Karachi,Sindh,24.805045,67.064323,0,For Sale,5,2019-07-12,Aashiyana Salman Property Management,Mustafa,24.0
149729,House,110000000,DHA Defence,Karachi,Sindh,24.805045,67.064323,0,For Sale,6,2019-07-12,Aashiyana Salman Property Management,Zahoor,20.0
149730,House,85000000,DHA Defence,Karachi,Sindh,24.824093,67.06140500000001,0,For Sale,5,2019-07-12,Aashiyana Salman Property Management,Zahoor,12.0
149731,House,160000000,DHA Defence,Karachi,Sindh,24.805045,67.064323,0,For Sale,6,2019-07-12,Aashiyana Salman Property Management,Mustafa,20.0
149732,House,150000000,DHA Defence,Karachi,Sindh,24.782215,67.074537,0,For Sale,6,2019-07-12,Aashiyana Salman Property Management,Mustafa,20.0
149733,House,155000000,DHA Defence,Karachi,Sindh,24.810265,67.043552,0,For Sale,6,2019-07-12,Aashiyana Salman Property Management,Mustafa,20.0
149734,House,155000000,DHA Defence,Karachi,Sindh,24.810265,67.043552,0,For Sale,5,2019-07-12,Aashiyana Salman Property Management,Mustafa,20.0
149735,House,140000000,DHA Defence,Karachi,Sindh,24.810265,67.043552,0,For Sale,6,2019-07-12,Aashiyana Salman Property Management,Mustafa,20.0
149736,House,140000000,DHA Defence,Karachi,Sindh,24.810265,67.043552,0,For Sale,5,2019-07-12,Aashiyana Salman Property Management,Mustafa,20.0
149737,House,105000000,DHA Defence,Karachi,Sindh,24.805045,67.064323,0,For Sale,5,2019-07-12,Aashiyana Salman Property Management,Mustafa,16.0
149738,House,120000000,DHA Defence,Karachi,Sindh,24.805045,67.064323,0,For Sale,6,2019-07-12,Aashiyana Salman Property Management,Mustafa,20.0
149739,House,120000000,DHA Defence,Karachi,Sindh,24.821639,67.071691,0,For Sale,6,2019-07-12,Aashiyana Salman Property Management,Mustafa,20.0
